instant,dteday,spring,summer,fall,season,yr,1,2,3,4,5,6,7,8,9,10,11,mnth,daybreak,morning,working hour,offwork,hr,holiday,w0,w1,w2,w3,w4,w5,weekday,workingday,weathersit,weathersit1,temp,atemp,hum,windspeed,casual,registered,cnt,sf
1,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0.25,1,0.24,0.2879,0.81,0,3,13,16,
2,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0.25,1,0.22,0.2727,0.8,0,8,32,40,
3,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0.25,1,0.22,0.2727,0.8,0,5,27,32,
4,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,6,0,0.25,1,0.24,0.2879,0.75,0,3,10,13,
5,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,6,0,0.25,1,0.24,0.2879,0.75,0,0,1,1,
6,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,6,0,0.5,2,0.24,0.2576,0.75,0.0896,0,1,1,
7,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0.25,1,0.22,0.2727,0.8,0,2,0,2,
8,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0.25,1,0.2,0.2576,0.86,0,1,2,3,
9,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,6,0,0.25,1,0.24,0.2879,0.75,0,1,7,8,
10,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,0,0,0,0,6,0,0.25,1,0.32,0.3485,0.76,0,8,6,14,
11,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,0,6,0,0.25,1,0.38,0.3939,0.76,0.2537,12,24,36,
12,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,6,0,0.25,1,0.36,0.3333,0.81,0.2836,26,30,56,
13,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,0,0,6,0,0.25,1,0.42,0.4242,0.77,0.2836,29,55,84,
14,2011/1/1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,6,0,0.5,2,0.46,0.4545,0.72,0.2985,47,47,94,
